,Total_PnL,Fx_name
0,124.220668732055,EURSGD
1,72.10924897459739,EURCAD
2,867.6023407841187,USDCNH
3,1583.1263163696144,GBPZAR
4,11564.762261331864,USDHUF
5,1187.1418898649722,EURNOK
6,1751.9105528481439,USDCZK
7,711.259298760075,EURZAR
8,15893.34839323122,USDJPY
9,1634.9015453521297,USDSEK
10,3933.6020355027904,CHFJPY
11,1517.1490985946145,USDMXN
12,722.6720402787902,EURDKK
13,408.8460887337954,GBPHKD
14,182.67624393433545,GBPSGD
15,1490.0590736231743,USDTRY
16,402.75782952844656,EURDKK
17,68.35495503223709,EURSGD
18,40.713929409311454,USDCHF
19,271.0978491428568,USDSEK
20,949.1762044610334,GBPZAR
21,3032.317073663079,EURTRY
22,187.61569353404923,AUDNZD
23,506.76471273358584,EURPLN
24,40.80069919337262,GBPNZD
25,24237.71102640109,CADJPY
26,39.835564608695606,USDSGD
27,28.59664751552792,USDCAD
28,25970.596469042208,EURHUF
29,524.3960930248513,USDNOK
30,168.20933257694725,EURUSD
31,193.5684775701718,USDSGD
32,1246.5961197212164,NZDHKD
33,22941.52149709341,EURJPY
34,156.8192069942788,EURAUD
35,3314.199273051452,USDTRY
36,65.16319657645258,NZDSGD
37,4632.20892991607,AUDJPY
38,17981.981101312715,AUDJPY
39,1644.0681888543697,USDZAR
40,1673.2973871305353,EURCZK
41,1559.4291503019483,EURTRY
42,151.65820304347812,USDDKK
43,90.243718208753,EURCHF
44,1183.237352030626,EURSEK
45,370.79075948857104,EURSEK
46,41.54201263261891,AUDUSD
47,418.812252070457,USDPLN
48,89.58463868763388,AUDUSD
49,1198.362118072816,USDDKK
50,483.52954599105044,USDHKD
51,1889.952560847947,USDCZK
52,203.754510235826,NZDHKD
53,16701.871964164675,GBPJPY
54,32.28841808552792,GBPAUD
55,51.22589328859123,GBPUSD
56,47873.041713173974,USDHUF
57,178.26258451239525,GBPAUD
58,164.7655805994578,NZDSGD
59,145.3745012827355,EURPLN
60,73.88757242945452,EURNZD
61,80.73197073702923,EURAUD
62,192.4636737157644,GBPPLN
63,85.20253915637345,USDCHF
64,3262.2292685255343,EURJPY
65,4047.65049418941,SGDJPY
66,1054.0199841538463,USDZAR
67,5807.693196850276,GBPJPY
68,246.15878259305185,EURNOK
69,254.72005104743067,USDCAD
70,671.1174883085594,USDHKD
71,64.41777455031055,AUDNZD
72,887.8839353925523,USDMXN
73,30.661602002816103,GBPCHF
74,22.496742719999983,EURUSD
75,73.58708311611437,GBPUSD
76,24949.693108515734,NZDJPY
77,1240.8497824143496,EURHKD
78,534.5258292513067,GBPHKD
79,228.88074386054194,GBPCAD
80,2056.0161763291526,EURCZK
81,5302.417900648286,USDJPY
82,118.89889653463291,EURCAD
83,175.43050542857128,EURHKD
84,854.3105513094478,USDNOK
85,3143.5775579157175,CADJPY
86,28.313551226086936,GBPCAD
87,44.800093480836765,GBPSGD
88,22227.59440289234,SGDJPY
89,266.71627568854785,USDCNH
90,147.42023586796878,NZDUSD
91,17.322695065714278,EURGBP
92,1969.7955780148818,EURZAR
93,406.62024443907,GBPPLN
94,3447.1931841317905,NZDJPY
95,6201.695462299926,HKDJPY
96,16085.678841892104,HKDJPY
97,294.0708590781072,USDPLN
98,87.02766056785208,GBPCHF
99,120.21878536292479,EURGBP
100,265.659019605052,GBPNZD
101,29373.999266863597,EURHUF
102,15703.1758321051,CHFJPY
103,43.00509774706818,EURCHF
104,193.66894317994897,EURNZD
105,28.897194123699585,NZDUSD
