timestamp,vwap,predicted_vwap,signal
2023-12-05 16:36:00,68.87799654576857,67.64873354362719,buy
2023-12-05 16:48:00,73.82845603448276,74.23628026788884,sell
2023-12-05 17:12:00,70.68599464285714,69.73042096589741,buy
2023-12-05 17:18:00,68.26634840871021,67.64873354362719,buy
2023-12-05 17:24:00,67.56992532467532,67.64873354362719,sell
2023-12-05 17:30:00,70.48054006677796,67.64873354362719,buy
2023-12-05 17:54:00,67.73916546762591,67.64873354362719,buy
2023-12-05 18:00:00,70.61064,69.73042096589741,buy
2023-12-05 18:06:00,67.911,67.64873354362719,buy
2023-12-05 18:12:00,64.74138,67.64873354362719,sell
2023-12-05 18:18:00,72.91216216216216,72.58401652744838,buy
2023-12-05 18:24:00,62.45339130434783,63.20039957219904,sell
2023-12-05 18:30:00,80.89387134502924,80.89387512207031,sell
2023-12-05 18:36:00,57.04806201550388,67.64873354362719,sell
2023-12-05 18:42:00,65.16837650602409,64.22536510891385,buy
2023-12-05 18:48:00,25.474269058295963,25.47426986694336,sell
2023-12-06 16:24:00,65.04584827586207,64.22536510891385,buy
2023-12-06 16:30:00,70.20024640657086,69.54932220458984,buy
2023-12-06 16:36:00,85.3528155844156,83.37106323242188,buy
2023-12-06 16:42:00,59.35454166666667,67.64873354362719,sell
2023-12-06 16:48:00,58.66062898089172,60.03360557556152,sell
2023-12-06 16:54:00,68.44325196850394,67.64873354362719,buy
2023-12-06 17:00:00,77.89321369863013,77.8932113647461,buy
2023-12-06 17:06:00,64.96143772241993,67.43734703063964,sell
2023-12-06 17:12:00,52.22731498470948,67.64873354362719,sell
2023-12-06 17:18:00,48.245498327759194,48.24549865722656,sell
2023-12-06 17:48:00,69.41838341968912,69.54932220458984,sell
2023-12-06 17:54:00,68.14460519801979,67.64873354362719,buy
2023-12-06 18:00:00,70.24873012048192,67.64873354362719,buy
2023-12-06 18:06:00,65.92572262773723,67.64873354362719,sell
2023-12-06 18:12:00,69.37417380352645,69.54932220458984,sell
2023-12-06 18:18:00,65.73072315035799,67.64873354362719,sell
2023-12-06 18:24:00,72.07064133016627,72.45463104248047,sell
2023-12-06 18:30:00,66.49238297872341,67.64873354362719,sell
2023-12-06 18:36:00,66.7150843373494,66.93400162916917,sell
2023-12-06 18:42:00,68.5988463356974,68.12140083312988,buy
2023-12-06 18:48:00,67.17743087557604,67.37898626560118,sell
2023-12-06 18:54:00,68.59557962529274,68.12140083312988,buy
2023-12-06 19:00:00,70.27122327790974,67.64873354362719,buy
2023-12-06 19:06:00,66.8376484018265,66.93400162916917,sell
2023-12-06 19:12:00,66.59981081081081,66.93400162916917,sell
2023-12-06 19:18:00,68.60185135135134,67.64873354362719,buy
2023-12-06 19:24:00,68.15891474654379,67.64873354362719,buy
2023-12-06 19:30:00,68.77238372093024,68.12140083312988,buy
2023-12-06 19:36:00,67.9459584295612,67.64873354362719,buy
2023-12-06 19:42:00,63.56787096774194,64.04486317104764,sell
2023-12-06 19:48:00,74.19565086206896,74.23628026788884,sell
2023-12-06 19:54:00,62.06819095477387,63.20039957219904,sell
2023-12-06 20:00:00,70.62407339449541,69.73042096589741,buy
2023-12-06 20:06:00,66.20101510574017,66.93400162916917,sell
2023-12-06 20:12:00,67.95693617021277,67.64873354362719,buy
2023-12-06 20:18:00,67.00397859327218,67.37898626560118,sell
2023-12-06 20:24:00,67.97729909365559,67.64873354362719,buy
2023-12-06 20:30:00,67.00944648318044,67.64873354362719,sell
2023-12-06 20:36:00,68.54593865030675,67.64873354362719,buy
2023-12-06 20:42:00,72.86199442896937,72.58401652744838,buy
2023-12-06 20:48:00,62.66774456521738,63.20039957219904,sell
2023-12-06 20:54:00,67.60460176991151,67.64873354362719,sell
2023-12-06 21:00:00,67.96402985074626,67.64873354362719,buy
2023-12-06 21:06:00,67.84961679790025,67.64873354362719,buy
2023-12-06 21:12:00,69.58180869565219,69.54932220458984,buy
2023-12-06 21:18:00,70.75569684210527,69.73042096589741,buy
2023-12-06 21:24:00,61.99974757281553,67.64873354362719,sell
2023-12-06 21:30:00,69.1099534883721,67.64873354362719,buy
2023-12-06 21:36:00,67.77784210526316,67.64873354362719,buy
2023-12-06 21:42:00,66.9399411764706,66.93400162916917,buy
2023-12-06 21:48:00,67.87820930232557,67.64873354362719,buy
2023-12-06 21:54:00,68.72827906976744,68.12140083312988,buy
2023-12-06 22:00:00,67.95038059701493,67.64873354362719,buy
2023-12-06 22:06:00,62.683956521739134,63.20039957219904,sell
2023-12-06 22:12:00,73.29604408352667,72.58401652744838,buy
2023-12-06 22:18:00,68.63232438016529,68.12140083312988,buy
2023-12-06 22:24:00,66.9788599537037,67.64873354362719,sell
2023-12-06 22:30:00,63.96231741573034,64.04486317104764,sell
2023-12-06 22:36:00,67.10150148367953,67.37898626560118,sell
2023-12-06 22:42:00,68.75116314199396,68.12140083312988,buy
2023-12-06 22:48:00,65.91020408163266,65.56194337209065,buy
2023-12-06 22:54:00,71.46602666666668,69.88704408918109,buy
2023-12-06 23:00:00,67.88195555555556,67.64873354362719,buy
2023-12-06 23:06:00,66.23255357142857,67.64873354362719,sell
2023-12-06 23:12:00,67.89073777777777,67.64873354362719,buy
2023-12-06 23:18:00,71.03396529284166,69.73042096589741,buy
2023-12-06 23:24:00,63.711336658354114,67.64873354362719,sell
2023-12-06 23:30:00,64.91890207715134,64.22536510891385,buy
2023-12-06 23:36:00,74.8362731707317,74.23628026788884,buy
2023-12-06 23:42:00,60.55751748251749,67.64873354362719,sell
2023-12-06 23:48:00,64.43898730964467,64.22536510891385,buy
